Title,Content
गरीब,"`Do you call me poor? I am as rich as happiness,
You won't find such wealth anywhere in the world.
I am not a slave to the desires of luxury,
My sweet labor is my delicious reward.

Like a river on the stone of effort,
I flow, laughing, filled with waves.
I don't stagnate in one place like a pond,
Every particle of this life is pure.

My forehead is adorned with sweat,
Those pearls are invaluable.
There's a beautiful lamp of peace within,
And the taste of nectar in every bite.

Hunger is sweet, thirst is delicious,
And finally, the aroma of satisfaction.
With a few needs met,
I create new worlds to inhabit.

The universe is my beautiful home,
The blue sky, a magnificent roof.
It's filled with countless gems,
The moon, the stars, and the radiant sun.

Dawn and dusk paint the sky with colors,
Clouds arrive and marvel at the sight.
The dance of seasons is a beautiful spectacle,
A play of light and shadow, day and night.

Flowers sway and dangle like fairies,
Sparkling with beautiful beads of dew.
Birds sing a thousand melodious tunes,
A symphony of nature's instruments.

The velvety grass, so soft and inviting,
Where I rest after my hard work.
The mighty trees, my wings,
As the wind blows through them, free and strong.

A small hut, my abode of joy,
Reached after climbing the mountain of ambition.
The wind plays freely above,
The endless blue sky overhead.

Alone, simple, and amidst infinity,
Near a cascading waterfall.
Stars twinkle above,
And the moon rises with a smile.

The evening adorns this beautiful scene,
The mountains and fields, a breathtaking view.
I bask in the joy of the sun,
And find peace in the embrace of darkness.

Taking my heart on a flight of fancy,
I wander through the moon, stars, and earth.
Enjoying the thrill of this journey,
I return to my lovely abode.

With a cheerful and carefree youth,
I open my heart to the world, embracing life's drops.
Adorned with ornaments that shimmer,
Roses sway as if intoxicated by joy.

My garden is filled with fairies,
Sweet roses, and countless other flowers.
Fragrant and beautiful garments,
Colorful and vibrant, adorn the scene.

Sleep ushers in a unique beauty,
Her dreams, a sweet magic.
I forget the world in her embrace,
As dawn arrives, shy and charming.

God is with me day and night,
There's no fear, no worry here.
This world is so delightful,
Blessed am I to be a part of it.` 
"
वसन्त,"```
What season has arrived, O Earth-queen, moon-mad!
Bees hum, birds flit and dart!
Nerves tremble, and the heart flutters!
Like the first lamps that flickered in the primal glimmer of creation,
In the first ripple of existence!

The time when Shiva unveils his cosmic dance!
When the Himalayas blush with Gauri's crimson hue!
At the first glimpse of Urvashi, my heart leaps like Vikrama's,
A wound where the sun has touched, look,
The tip of the evening star!

The sage's soul dances like a butterfly,
Liberated, calling this earth,
Heaven itself!
A nectar-filled paradise!

The stones seem to whisper,
Sharing secrets,
The saffron love of the universe!
We, the buds on swaying branches,
Have entered the white gates,
Sharing tales of blossoming with the world,
Sitting beside the fairies.

What fragrance do the waves carry,
Wave after wave!
The bud of my heart blooms,
Spreading its scent like a bee!
``` 
"
जीवन,"```
`In the awakening cries, a tender, sweet dawn's enchantment.
In the bamboo-spring's playful journey, a dream-flower's resonance.`

`Love's innocence, a moonlit magic,
Intoxication's haze, a sparkle in the eyes.
In beauty's embrace, a vast, luxurious bliss,
In gentle tremors, life's dance.`

`New reflections, foreign lands,
Aspirations take flight, soaring high.
Novel hues and waves,
A light song from innocent lips.`

`In the field of action, a youthful zeal,
Exploring and weighing new possibilities.
Relying on the strength of both love and courage,
A vast world, free and invaluable.`

`Colors fade into bitterness, illusions shattered,
Hopes stolen like scattered ashes.
Anxiety, sorrow, separation increase,
Unrelenting logic weighs heavy on the mind.`

`Creation's web, luxurious and grand,
Yet within, a self-inflicted defeat.
Winter's frost upon a blossoming head,
A stark contrast to the world's bustling affairs.`

`Growing awareness of solitude,
Forgotten dreams, once cherished and bright.
No shelter from the downpour of despair,
Sorrow, grief, and unfamiliar voices echo.`

`At the end of life's rosary,
Love's tremor, a vibration deep within.
Tear-filled eyes gently close,
Oh life, how strange and wondrous you are.`
```
"
अन्त्यमा,"```
Twinkling star, twinkling star, that distant light of my home,
May no dark clouds gather near, as life's sun starts to roam.

Remain serene, remain serene, the day's end, a bright sky's grace,
Let no gust, no restless wind, disturb this tranquil space.

The final hour of the evening, let it chime a gentle call,
As day's eyelids softly close, and darkness drapes us all.

This beautiful, divine expanse, a last glimpse to behold,
A final scene of fading light, as eyes begin to fold.

In the infinite sky above, a bird soars in peaceful flight,
Leaving the courtyard, seeking peace, in the woods, lost to the night.

A single word, a melody, a thread of joy unknown,
May it echo in the garden of a heart, as a memory sown.
``` 
"
जिन्दगीको मौसम,"```
May the season of life remain, keep plowing the field of your heart, let it not lay barren
As the rain pours, the water of consciousness, pure and white,
From the infinite ocean, the season arrives, circling round and round.
The soil of the heart blooms profusely, as the rain sings its song.
Tie the senses, the oxen of your body, to the plow, and keep tilling the field.
The seeds of karma are in the world, plant thousands, let them sprout in the field.
As long as the season of life remains, keep plowing, keep planting.
Don't let the cruel time make anyone barren, don't fall asleep just yet.
Plant all the seeds now; the grains will ripen later.
Don't cry later when the harsh winter comes for you.
```"
झरना,"```
From the mountain's peak I saw,
Water cascading, a wondrous draw.
A thousand lamps ignited bright,
Within my heart, dispelling night.

Hidden power, a secret force,
Lies in the waterfall's vibrant source.
If only we could truly see,
The radiant light, electricity.

But alas, in vain it flows,
Wasted water, nobody knows.
Don't our hearts, like mountains high,
Hold springs of pure water, nigh?

If only within us, they could reside,
A thousand beautiful fountains, side by side.
Oh, the sorrow, the deep despair,
Darkness lingers, a heavy snare!
```"
घाँसी,"```A handsome youth slept soundly,
His pillow, a stone beneath a tree so profound.
A grasscutter sharpened his blade with care,
Sitting beside, lost in his own affair.

The forest's sweet melody did creep,
Into the youth's slumber, soft and deep.
One's heart soared high, in a blissful dream,
While the other's life, in waking, did gleam.

Awakening, the youth, with eyes so bright,
Asked the grasscutter, ""What do you do, with all your might?""
""I sharpen sickles,"" the man replied with a gentle smile,
""For those who toil, for a little while.""

""What kind of sickles?"" the youth inquired with grace,
""For those who journey, in this lonely space.
I have none to reflect in my heart's embrace,
My hands are weary, my sickle, a disgrace.""

""I sell them, to gather a few coins with care,
To buy a clay lamp, a wish I can't bear.
How can flowers bloom, if not sown with love?
How long can one play, with toys from above?""

Click, clack, the sickle danced with glee,
The grasscutter spoke, intermittently.
Each moment precious, like a shining gem,
He gathered them all, without a condemn.

""God's jungle, my field, where grass grows tall,
I harvest the bounty, for Tulsi's call.
I pay my dues, to this Earth so grand,
Rama's grace shines, for two days in this land.""

The youth was mesmerized, a magnetic spark,
As if lightning struck, leaving its mark.
The rustling leaves, a sweet melody,
Birdsong filled the forest, wild and free.

Emotions flowed, in rhythmic sway,
The youth's heart danced, along the way.
""Ah,"" he sighed, with a voice so serene,
""This grasscutter's life, a sight to be seen.""

""Awaken, awaken,"" the forest did call,
To the slumbering soul, standing tall.
The youth's eyes welled up, with tears so bright,
His chest swelled with joy, a beautiful sight.

Two teardrops fell, on the tranquil stone,
Forming beautiful lines, like words unknown.
Two letters emerged, ""Ra"" and ""Ma"" so clear,
A divine inscription, dispelling all fear.

""Who is there? Who is there?"" a voice so sweet,
As the sun dipped low, in its golden retreat.
More teardrops fell, from a heart so pure,
Pitter-patter, on the stone, they did endure.

The forest's colors, turned into ink,
Flowing like a river, on the brink.
Birds sang sweetly, in cages and trees,
A symphony of nature, carried by the breeze.

Drinking the nectar, the hills came alive,
With joy and laughter, they began to thrive.
Cool streams flowed, under shady trees,
Thirst and sorrow, vanished with the breeze.

They sang of Rama and Sita, with love so true,
The grasscutter joined, his heart anew.
Like a blooming lotus, his spirit did soar,
Two Nepali souls, united forevermore.

Oh, Venus star! Our beautiful guide,
Nepali, the first sound, we can't hide.
May our land be filled, with souls so bright,
Like this grasscutter, shining his light.

The beauty of our language, so pure and true,
Like a parrot's voice, sweet and new.
The innocence of childhood, in every line,
Simple, bright, and divine.

You have spoken, from the depths of your heart,
A sweetness that words, can't impart.
Return again, to this land of ours,
Where beauty awaits, in all its powers.

The birth of our language, a moment to behold,
A history so pure, a story to be told.
Oh, how bright is our Earth, how sweet the air,
A honeymoon of joy, beyond compare.
```"
सुनको बिहान,"```
A golden day will dawn, they say,
This land will open up its way.
Colorful clouds will spread above,
The waterfall will sing with love!

The birds awake and chirp with glee,
Temple bells ring out merrily.
The gentle breeze will softly blow,
And wake the sleeping flowers below.

The world will dance in vibrant hues,
The towering Himalayas, grand views.
Cool, refreshing dew will fall,
Progress will uplift us all!
```"
पाप लाग्छ,"```
Do not pluck, look, the bud!
Sin incurs, if you dare to thud.
Do not tear the flower, my child!
Mercy and religion get exiled.

Do not touch the birds, my dear,
Their tears, a curse, you'll bear.
Do not kill any creature you meet,
Death awakens, taking a seat.

Do not inflict wounds or pain,
It burns the heart, leaving a stain.
Do not blow dust, little one,
It flies and covers everyone.

Do not play in the dirt and grime,
Bad stains will mark you, time to time.
Do not cause any heart to ache,
Tears will flow, for goodness' sake.

Become like a flower, always bright,
Smile and spread your fragrant light.
Always bring joy to the world so wide,
Give hope eternal, with every stride.

Everywhere God resides, lend your ear,
Listen to this thought, hold it dear.
Do not hide or conceal,
Let no ill-feeling ever steal.
``` 
"
पैसा,"```
Oh, money, so bright and valuable,
To those with eyes, you light up the world.
Round and priceless, a captivating charm,
To possess you makes the mind soar.

The world is round, wealth too is round,
Money reigns supreme in all things.
With money, the heart blooms with joy,
It's the cure for all ailments and woes.

Money is everything, here and beyond,
With it, the world is rarely dark.
Money is power, wealth, strength, and life,
With it, one commands respect and honor.

The world bows to those with riches,
But turns away when one is penniless.
People become like dogs, devoid of humanity,
While money stands tall, a treasure in the world.

Money teaches cunning and deceit,
It absolves guilt and covers up wrongs.
With money, sorrows vanish without a trace,
No evil seems to exist in the world.

Yet, it's a seed of sin, dark and vile,
It wields knives, swords, and spears.
It ignites greed within the heart's chamber,
Leading to misery and a life of despair.

For money, people kill and betray,
All principles and morals are cast aside.
Used for good, it paves the path to heaven,
But for evil, it leads to countless miseries.

Therefore, amass wealth with a kind heart,
Let it be a source of joy, not sorrow's well.
Share your riches to wipe away tears,
And perform good deeds, big or small.

Consider this wealth your rightful inheritance,
My dear child, this is my plea and advice,
Always use it for righteousness and virtue.
```
"
सिँह र मुसा,"`It was a hot summer day, the sun was scorching hot,
The sky was ablaze, the heat was unbearable.
Seeking respite from the oppressive heat, I lay down
Under the shade of a tree, my tongue parched and dry.

There was a large lion, the king of all beasts,
With his eyes half-closed, he rested peacefully.
The shade of the tree provided a cool haven,
Where birds chirped and sang, offering a sense of tranquility.

The lion, lost in blissful slumber, enjoyed the peace,
While a tiny mouse scurried and frolicked below.
Unaware of the sleeping king, it ran around,
Its tiny paws making soft, rustling sounds.

The mouse, in its playful antics, climbed onto the lion,
Dancing and leaping without a care in the world.
Some of its companions nibbled at the lion's mane,
While others tickled him with their long tails.

The lion, annoyed by the disturbance, let out a roar,
His mighty paws swatting at the pesky creatures.
The mice scattered in fear, their tiny hearts pounding,
As the lion's anger shook the very ground.

The lion, unable to sleep, grew increasingly frustrated,
The constant buzzing and scurrying driving him mad.
""How dare these insignificant creatures disturb my rest?"" he thought,
His royal pride wounded by their audacity.

Determined to teach them a lesson, he caught one of the mice,
Its tiny body trembling in his grasp.
""Spare me, your majesty!"" pleaded the terrified mouse,
""I meant no harm, I was only playing.""

The lion, amused by the mouse's pleas, decided to let it go,
""Go on then,"" he chuckled, ""but don't let me catch you again.""
The mouse, grateful for its life, scurried away,
Vowing to repay the lion's kindness someday.

Fate, as it often does, took an unexpected turn,
And the mighty lion found himself caught in a hunter's trap.
He roared and struggled, but his strength was no match for the ropes,
His pride and power rendered useless.

The little mouse, hearing the lion's desperate cries,
Rushed to his aid, its tiny teeth gnawing at the ropes.
Strand by strand, it worked tirelessly,
Until finally, the lion was free.

The lion, humbled by the experience, thanked the mouse,
Realizing that even the smallest creature can show great kindness.
""I misjudged you,"" he admitted, ""You have saved my life.""
And so, the lion and the mouse became unlikely friends,
A testament to the power of compassion and forgiveness.` 
"
वर्षा,"```
Oh! Ghar ghar ghar ghar jhar jhar jhar jhil li li li jhil sil sil mil mi mil!
Oh! Hwar hwar hwar hwar jham jham jham jham jhar sir sir sir sir swanr
Oh! Ghar ghar ghar ghar jhili jhili jhili lake.
Sil sil bhil bhil bhil.
Chul pul chul pul chul pul
Dar dar dar dar dar
Sir vir sir vir swanr!
Oh! Ghar ghar ghar ghar jhil li li li jhil!
Sil sil mil mil mil!
```"
मास्टरजी,"```A small chin, with a beard just beginning to sprout,
Black stubble that's rubbed repeatedly with two fingers.
In his right hand, a long, thin cane,
Or a slender stick that can deliver a thousand whacks.

Eyes, oh eyes, distorted by countless black letters,
Two round spectacles through which he sees the world.
Three thousand times, under the scorching sun,
Our dark-skinned master teaches, a walking encyclopedia.

His thin tongue flickers like a red lizard,
His gait swift, he carries a load of books,
Collecting thoughts and ideas from their pages.
Saturdays and Tuesdays seem endless, Bhim and Bhrikuti appear menacing,
He's the bane of boys who don't memorize their lessons.

His stomach, like a sarangi, hollow and thin,
A wonder to behold, how can this be?
Yet, within it, a mountain range of books,
So much knowledge crammed into such a small space.

His tiny head carries the weight of the world,
His small mouth utters words a thousand hands long.
There's nothing he doesn't know, his mind a globe,
He can effortlessly name cities, Paris, London, every town.

But ask him about Sanskrit, and he'll simply say,
""Oh, please, don't bother me with that.""
And while he teaches, his head spins like a top,
A curious contradiction, this learned soul. 
```"
पल्टन,"```The drums of war thunder, a call to arms so clear!
For our beloved nation, we march forth without fear!
Take up your weapons, sons of the soil so grand,
To vanquish the enemy, our blood shall water the land.

With every beat of the drum, our spirits soar high,
""One, two, one, two,"" our marching rhythm does cry.
For our nation's honor, we go forth with might,
The drums of war thunder, guiding us through the fight.

Today, the battlefield awaits, our valor put to the test,
With hearts unwavering and brave, we'll stand among the best.
Embrace death, for heaven awaits, or live with glory untold,
Let the cymbals clash and the tales of our bravery unfold.

Life and limb we offer, at this crucial hour,
With every steady step, we feel our inner power.
We leave behind our homes, our loved ones dear,
For our nation's cause, we conquer every fear.

Like a storm we surge forth, destined to shine bright,
With the divine as our guide, we fear not day or night.
For our nation, we live or die, our love knows no bounds,
March forward, climb every peak, let victory resound.

Glory and honor await, listen to the drums' call,
Those who cower in fear, like jackals, they shall fall.
We leave behind our homes, our loved ones we hold dear,
With hearts ablaze, we march on, banishing every fear.

Our mortal bodies may perish, turn to dust and then fade,
But for our nation's honor, our spirits will never degrade.
Brave warriors, united, in rows so long and bold,
March forth with unwavering steps, let our story be told.

With eyes fixed on the prize, our hearts filled with burning might,
The drums of war thunder, guiding us through the night.
Today, we settle old scores, with courage we stand tall,
Our weapons raised high, ready to answer freedom's call.

Awaken, Kali, awaken! Let your power ignite,
For our nation's defense, we fight with all our might.
With every beat of the drum, we march in perfect line,
The enemy's reign will crumble, as our spirits intertwine.

Life itself is a battle, our eyes gleam with fire,
Our bodies may turn to dust, but our souls will inspire.
Look around, sons of Nepal, let our spirits ignite,
Vanquish the enemy, ascend to victory's height.

With every step, be cautious, let your resolve never sway,
Brave warriors, be steadfast, like stars that light the way.
For our nation's call, we depart, leaving loved ones behind,
The drums of war thunder, a rhythm we hold enshrined.```
"
सौन्दर्य-उपासना,"```
(1) I yearn to see all things beautiful,
To fill my heart and mind with their grace.
My eyes, they thirst for beauty's view,
In such delight, I find my place.

(2) From radiant blooms, a fragrant delight,
A subtle pleasure fills my soul.
My heart overflows with pure delight,
A feeling words can't quite console.

(3) I drink the sweetness of the blue sky's dome,
Where stars like playful diamonds gleam.
The moon's sweet nectar, I make my own,
My eyes, two cups, catch every beam.

(4) The azure bowl of the vast expanse,
Pours down its essence, pure and bright.
Is that a light that here does dance?
Or heaven's nectar, shining light?

(5) This world, so beautiful, a wondrous sight,
With stars like jewels, a dazzling array.
No words can capture their brilliant light,
Like flowers strung, they light the way.

(6) The maker of this world, so vast and grand,
Must possess beauty beyond compare.
How wondrous is this creation planned,
What treasures in its heart we share.

(7) My eyes well up with tears that flow,
A tremor runs through flesh and bone.
As I draw near, in meditation's glow,
The true form of all things is shown.

(8) All things unpleasant, dark, and unkind,
They sting my heart, a painful dart.
But those that shine, with beauty aligned,
Bring lasting joy to my weary heart.

(9) Witnessing this world, so strange and bright,
A thought within my mind takes hold.
To craft such beauty, a radiant light,
And leave behind a tale to be told.
```"
